2021-08-08 01:26:03 INFO  DriverFactory:71 - The driver executable does not exist: /Users/guptaabi/ProjectDir/xendit/src/main/java/com/test/xendit/driver\Mac\chromedriver
2021-08-08 01:26:55 INFO  TestBase:29 - Initialize Web driver: 1925352804
2021-08-08 01:26:55 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 01:26:55 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 01:27:02 INFO  Homepage:40 - Fetch Calculator size details
2021-08-08 01:27:02 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (75c3047b1024130a7d3d788b2104873b)] -> id: fullframe]for time : 10
2021-08-08 01:27:02 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 01:29:56 INFO  TestBase:29 - Initialize Web driver: 1925352804
2021-08-08 01:29:56 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 01:29:56 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 01:30:02 INFO  Homepage:41 - Fetch Calculator size details
2021-08-08 01:30:02 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (80ad4a0d4be1127a9f17d6f1786df1c3)] -> id: fullframe]for time : 10
2021-08-08 01:30:02 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 01:31:35 INFO  TestBase:29 - Initialize Web driver: 671596011
2021-08-08 01:31:35 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 01:31:35 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 01:32:31 INFO  TestBase:29 - Initialize Web driver: 671596011
2021-08-08 01:32:31 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 01:32:31 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 01:32:37 INFO  Homepage:41 - Fetch Calculator size details
2021-08-08 01:32:37 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (c49288d2b6633a6cac18fec23b103481)] -> id: fullframe]for time : 10
2021-08-08 01:32:37 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
